titles,Author,Simplified-Title
Sherlock Holmes,Arthur Conan Doyle,Sherlock Holmes
The Hobbit,George R.R. Martin,Hobbit
The Ring,George R.R. Martin,Ring
Foundation,Isaac Asimov,Foundation
Harry Potter,J.K. Rowling,Harry Potter
A Song of Ice and Fire,George R.R. Martin,Song of Ice and Fire
The Wheel of Time,Robert Jordan,Wheel of Time
Discworld,Terry Pratchett,Discworld
Outlander,Diana Gabaldon,Outlander
Percy Jackson & the Olympians,Rick Riordan,Percy Jackson & the Olympians
His Dark Materials,Philip Pullman,His Dark Materials
Bridget Jones,Helen Fielding,Bridget Jones
The No. 1 Ladies' Detective Agency,Alexander McCall Smith,No. 1 Ladies' Detective Agency
The Southern Vampire Mysteries,Charlaine Harris,Southern Vampire Mysteries
Artemis Fowl,Eoin Colfer,Artemis Fowl
Alex Cross,James Patterson,Alex Cross
Stephanie Plum,Janet Evanovich,Stephanie Plum
The Dark Tower,Stephen King,Dark Tower
Anita Blake: Vampire Hunter,Laurell K. Hamilton,Anita Blake: Vampire Hunter
The Chronicles of Narnia,C.S. Lewis,Chronicles of Narnia
Tom Clancy's Op Center,Tom Clancy and Jeff Rovin,Tom Clancy's Op Center
Dune,"Frank Herbert, Brian Herbert, Kevin J. Anderson",Dune
The Princess Diaries,Meg Cabot,Princess Diaries
Shopaholic series,Sophie Kinsella,Shopaholic series
The Mitford Years,Jan Karon,Mitford Years
Jack Reacher,Lee Child,Jack Reacher
Redwall,Brian Jacques,Redwall
Foundation series,Isaac Asimov,Foundation series
The Saga of Darren Shan,Darren Shan,Saga of Darren Shan
The Riftwar Cycle,Raymond E. Feist,Riftwar Cycle
Temeraire,Naomi Novik,Temeraire
In Death series,J.D. Robb,In Death series
The Left Behind,Tim LaHaye and Jerry B. Jenkins,Left Behind
Amelia Peabody,Elizabeth Peters,Amelia Peabody
The Bourne Series,"Robert Ludlum, Eric Van Lustbader",Bourne Series
Mortal Instruments,Cassandra Clare,Mortal Instruments
Maximum Ride,James Patterson,Maximum Ride
The Tudor Court,Philippa Gregory,Tudor Court
Kay Scarpetta,Patricia Cornwell,Kay Scarpetta
Dirk Pitt,Clive Cussler,Dirk Pitt
Earth's Children,Jean M. Auel,Earth's Children
Mars Trilogy,Kim Stanley Robinson,Mars Trilogy
Prey Series,John Sandford,Prey Series
Rizzoli & Isles,Tess Gerritsen,Rizzoli & Isles
The Vampire Chronicles,Anne Rice,Vampire Chronicles
Incarnations of Immortality,Piers Anthony,Incarnations of Immortality
Guardians of Time,Marianne Curley,Guardians of Time
The Spiderwick Chronicles,Holly Black and Tony DiTerlizzi,Spiderwick Chronicles
Magic Tree House,Mary Pope Osborne,Magic Tree House
Warriors,Erin Hunter,Warriors
Ranger's Apprentice,John Flanagan,Ranger's Apprentice
Gossip Girl,Cecily von Ziegesar,Gossip Girl
Circle Trilogy,Nora Roberts,Circle Trilogy
The Dark is Rising,Susan Cooper,Dark is Rising
The Keys to the Kingdom,Garth Nix,Keys to the Kingdom
Young Wizards,Diane Duane,Young Wizards
The Pendragon Adventure,D.J. MacHale,Pendragon Adventure
Shadow Children,Margaret Peterson Haddix,Shadow Children
Ramona,Beverly Cleary,Ramona
Septimus Heap,Angie Sage,Septimus Heap
Diary of a Wimpy Kid,Jeff Kinney,Diary of a Wimpy Kid
The Immortals,Tamora Pierce,Immortals
The Belgariad,David Eddings,Belgariad
Magic Circle,Tamora Pierce,Magic Circle
Malory Towers,Enid Blyton,Malory Towers
The Uplift Saga,David Brin,Uplift Saga
Discworld,Terry Pratchett,Discworld
The Night World,L.J. Smith,Night World
The CHERUB Series,Robert Muchamore,CHERUB Series
The Sword of Truth,Terry Goodkind,Sword of Truth
The Godfather,Mario Puzo,Godfather
Maze Runner,James Dashner,Maze Runner
Wicked,Gregory Maguire,Wicked
Animorphs,K.A. Applegate,Animorphs
Bone,Jeff Smith,Bone
Wolves of Mercy Falls,Maggie Stiefvater,Wolves of Mercy Falls
The Shannara Series,Terry Brooks,Shannara Series
The Sigma Force,James Rollins,Sigma Force
The Temperance Brennan Series,Kathy Reichs,Temperance Brennan Series
The Repairman Jack Series,F. Paul Wilson,Repairman Jack Series
Thursday Next,Jasper Fforde,Thursday Next
The Alex Rider Series,Anthony Horowitz,Alex Rider Series
Hitchhiker's Guide to the Galaxy,Douglas Adams,Hitchhiker's Guide to the Galaxy
The Last Kingdom Series,Bernard Cornwell,Last Kingdom Series
The Morganville Vampires,Rachel Caine,Morganville Vampires
The Inheritance Cycle,Christopher Paolini,Inheritance Cycle
The Hunger Games,Suzanne Collins,Hunger Games
Robert Langdon Series,Dan Brown,Robert Langdon Series
The House of Night,P.C. Cast and Kristin Cast,House of Night
The 39 Clues,Various Authors,39 Clues
The Women's Murder Club,James Patterson,Women's Murder Club
The Twilight Saga,Stephenie Meyer,Twilight Saga
The Millennium Series,Stieg Larsson,Millennium Series
Mistborn Series,Brandon Sanderson,Mistborn Series
The Kingkiller Chronicle,Patrick Rothfuss,Kingkiller Chronicle
Fablehaven,Brandon Mull,Fablehaven
The Luxe Series,Anna Godbersen,Luxe Series
Gone Series,Michael Grant,Gone Series
The Lorien Legacies,Pittacus Lore,Lorien Legacies
The Dresden Files,Jim Butcher,Dresden Files
The Mercy Thompson Series,Patricia Briggs,Mercy Thompson Series
The Sookie Stackhouse Series,Charlaine Harris,Sookie Stackhouse Series
The Alex Delaware Series,Jonathan Kellerman,Alex Delaware Series
Virgil Flowers Series,John Sandford,Virgil Flowers Series
The Cork O'Connor Series,William Kent Krueger,Cork O'Connor Series
The Demonata,Darren Shan,Demonata
Cirque Du Freak,Darren Shan,Cirque Du Freak
The Kane Chronicles,Rick Riordan,Kane Chronicles
The Heroes of Olympus,Rick Riordan,Heroes of Olympus
The Riyria Revelations,Michael J. Sullivan,Riyria Revelations
The First Law,Joe Abercrombie,First Law
The Riyria Chronicles,Michael J. Sullivan,Riyria Chronicles
Codex Alera,Jim Butcher,Codex Alera
The Hollows,Kim Harrison,Hollows
The Rain Wild Chronicles,Robin Hobb,Rain Wild Chronicles
The Liveship Traders Trilogy,Robin Hobb,Liveship Traders Trilogy
The Farseer Trilogy,Robin Hobb,Farseer Trilogy
The Tawny Man Trilogy,Robin Hobb,Tawny Man Trilogy
The Fitz and The Fool Trilogy,Robin Hobb,Fitz and The Fool Trilogy
The Legend of Drizzt,R.A. Salvatore,Legend of Drizzt
Nightside,Simon R. Green,Nightside
The Secret Histories,Simon R. Green,Secret Histories
The October Daye Series,Seanan McGuire,October Daye Series
The Lockwood & Co. Series,Jonathan Stroud,Lockwood & Co. Series
The Bartimaeus Trilogy,Jonathan Stroud,Bartimaeus Trilogy
The Edge Chronicles,Paul Stewart and Chris Riddell,Edge Chronicles
The Chronicles of Ancient Darkness,Michelle Paver,Chronicles of Ancient Darkness
